Baseline_Model,Complexity_Tier,N,Cost_Ratio,Cost_95_CI_Low,Cost_95_CI_High,Parallel_Speedup,Wall_Latency_Ratio
llama_8b,ALL,80,2.6563,2.5076,2.805,0.0217,2.9146
llama_8b,single_domain,20,2.8162,2.5143,3.1182,0.0209,3.1265
llama_8b,two_domain,30,2.6549,2.4028,2.907,0.0217,2.8729
llama_8b,three_plus_domain,30,2.551,2.3124,2.7896,0.0223,2.815
qwen_32b,ALL,80,1.1778,1.112,1.2436,0.0213,2.9438
qwen_32b,single_domain,20,1.2484,1.1149,1.382,0.0209,3.0826
qwen_32b,two_domain,30,1.1772,1.0656,1.2888,0.0209,2.9767
qwen_32b,three_plus_domain,30,1.1314,1.0258,1.237,0.022,2.8185
llama_70b,ALL,80,0.5835,0.5512,0.6159,0.0213,2.9528
llama_70b,single_domain,20,0.6178,0.5523,0.6833,0.0208,3.1217
llama_70b,two_domain,30,0.5832,0.5283,0.6381,0.0207,3.0065
llama_70b,three_plus_domain,30,0.561,0.509,0.613,0.0223,2.7865
qwen_72b,ALL,80,0.5835,0.5512,0.6159,0.0217,2.9038
qwen_72b,single_domain,20,0.6178,0.5523,0.6833,0.0199,3.2487
qwen_72b,two_domain,30,0.5832,0.5283,0.6381,0.0215,2.8816
qwen_72b,three_plus_domain,30,0.561,0.509,0.613,0.0231,2.696
gemini_frontier,ALL,80,0.1109,0.1044,0.1173,0.0219,2.8551
gemini_frontier,single_domain,20,0.1182,0.105,0.1314,0.0211,3.064
gemini_frontier,two_domain,30,0.1108,0.0999,0.1217,0.0219,2.789
gemini_frontier,three_plus_domain,30,0.1061,0.0958,0.1163,0.0225,2.782
